,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl
instance_a,instance_b,,,,,,,,,,
002.txt,061.txt,219288384.0,,,,,43.0,,,,
002.txt,062.txt,228.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0
002.txt,063.txt,1438473.0,21.0,,21.0,,22.0,21.0,21.0,21.0,21.0
002.txt,065.txt,1572088.0,,,,,23.0,20.0,20.0,20.0,20.0
002.txt,066.txt,672720.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
002.txt,067.txt,1367.0,20.0,20.0,20.0,20.0,23.0,20.0,20.0,20.0,20.0
002.txt,068.txt,1212113.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
002.txt,069.txt,274.0,20.0,20.0,20.0,20.0,22.0,20.0,20.0,20.0,20.0
002.txt,071.txt,3747431717.0,32.0,,32.0,,32.0,32.0,32.0,32.0,32.0
002.txt,072.txt,5248.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
002.txt,075.txt,1322794.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0
002.txt,077.txt,5465.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.0,13.0
002.txt,079.txt,1698.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
002.txt,080.txt,6715.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
002.txt,082.txt,6715.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
002.txt,084.txt,1554212.0,18.0,18.0,18.0,18.0,20.0,18.0,18.0,18.0,18.0
002.txt,085.txt,21316298.0,41.0,41.0,41.0,41.0,42.0,41.0,41.0,41.0,41.0
002.txt,086.txt,171646782.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
002.txt,089.txt,608208998.0,38.0,38.0,38.0,38.0,39.0,38.0,38.0,38.0,38.0
002.txt,092.txt,276.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
002.txt,099.txt,90460.0,,,,,20.0,14.0,14.0,14.0,14.0
002.txt,100.txt,16694.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0
002.txt,101.txt,604.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
002.txt,108.txt,2235524.0,,,,,22.0,20.0,20.0,20.0,20.0
002.txt,109.txt,20355212.0,43.0,43.0,43.0,43.0,45.0,43.0,43.0,43.0,43.0
002.txt,111.txt,394209302.0,,,,,27.0,24.0,24.0,24.0,24.0
002.txt,112.txt,246170.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0
002.txt,116.txt,140074.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0,19.0
002.txt,120.txt,452.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0
002.txt,121.txt,1500.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
