instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time,unified_aborted, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, ref_size, ref_nodes, ref_time, match
002.txt,031.txt,dal,9,11,385,0.000168832,0,10,237,7.13E-05,316,9,3943,0,PASS
002.txt,032.txt,dal,44,62,715620989,69.4791,0,47,689820458,66.5766,452322338,44,6127008093,685.468,PASS
002.txt,033.txt,dal,45,70,6670857,0.542607,0,47,6642273,0.538812,4319870,45,25031527,2.349,PASS
002.txt,034.txt,dal,26,22,13669405,1.05345,0,27,1833638,0.164408,11294950,26,1482974538,148.984,PASS
002.txt,035.txt,dal,23,27,3957145,0.367716,0,26,297594,0.0226788,2721336,23,60769138,6.197,PASS
002.txt,037.txt,dal,22,21,2354143,0.271866,0,24,21236,0.00179819,1905240,22,280576327,26.949,PASS
002.txt,038.txt,dal,33,46,1178517,0.142977,0,37,648234,0.0735845,824331,33,6727437,0.886,PASS
002.txt,041.txt,dal,24,32,108243,0.0116894,0,27,3611,0.000493739,65141,24,2950205,0.37,PASS
002.txt,042.txt,dal,34,40,17265967037,1000.02,1,47,3550,0.000441822,14421546845,,,0,MISSING_DATA
002.txt,044.txt,dal,14,16,7725,0.000847752,0,15,195,3.54E-05,5043,14,48309,0.006,PASS
002.txt,045.txt,dal,10,12,96,6.47E-05,0,10,11,1.10E-05,86,10,39,0,PASS
002.txt,046.txt,dal,25,32,103952600,11.1494,0,31,33615102,3.01285,72589334,,,0,MISSING_DATA
002.txt,048.txt,dal,42,54,6432616090,1000.01,1,47,396181343,36.6569,5852608214,,,0,MISSING_DATA
002.txt,049.txt,dal,46,76,76344884,10.4913,0,47,76341178,10.4893,48596159,,,0,MISSING_DATA
002.txt,051.txt,dal,44,62,1675709798,151.82,0,47,1500068219,134.11,1175411833,,,0,MISSING_DATA
002.txt,053.txt,dal,17,21,1514,0.000297005,0,18,112,3.67E-05,1029,17,23033,0.003,PASS
002.txt,055.txt,dal,38,26,6174959097,779.57,0,44,6173714426,779.402,4912980645,,,0,MISSING_DATA
002.txt,056.txt,dal,41,52,7669406316,1000.02,1,47,63628068,11.8428,5428489609,,,0,MISSING_DATA
002.txt,057.txt,dal,16,20,106,7.28E-05,0,16,17,1.72E-05,90,16,99,0,PASS
002.txt,058.txt,dal,16,20,31916,0.00389165,0,18,1416,0.000206859,25338,16,5662435,0.592,PASS
002.txt,059.txt,dal,17,16,344,0.000108993,0,17,206,4.67E-05,299,17,84,0,PASS
002.txt,061.txt,dal,43,56,280326751,40.0195,0,47,243739915,35.9579,219288384,,,0,MISSING_DATA
002.txt,062.txt,dal,11,14,258,9.11E-05,0,11,181,4.11E-05,228,11,42,0,PASS
002.txt,063.txt,dal,22,36,1643816,0.197021,0,25,13197,0.00205095,1438473,22,1115711682,156.294,PASS
002.txt,064.txt,dal,36,45,12412664429,1000.02,1,47,96636,0.0108965,10877925288,,,0,MISSING_DATA
002.txt,065.txt,dal,23,23,2421197,0.216316,0,25,2336053,0.208352,1572088,23,148696577,12.035,PASS
002.txt,066.txt,dal,19,26,935187,0.100348,0,25,201,4.38E-05,672720,19,698286100,97.519,PASS
002.txt,067.txt,dal,23,26,1885,0.000356859,0,24,1137,0.000206893,1367,23,125743,0.014,PASS
002.txt,068.txt,dal,12,14,1624393,0.179615,0,15,128,2.98E-05,1212113,12,17671242,2.019,PASS
002.txt,069.txt,dal,22,30,385,0.000122205,0,22,277,6.13E-05,274,22,80,0,PASS
002.txt,070.txt,dal,44,62,8576650033,1000.02,1,47,5123451976,578.52,5647583889,,,0,MISSING_DATA
002.txt,071.txt,dal,32,37,4922133423,618.24,0,39,271496342,27.3304,3747431717,,,0,MISSING_DATA
002.txt,072.txt,dal,14,17,6425,0.000901351,0,15,116,3.19E-05,5248,14,85356,0.008,PASS
002.txt,073.txt,dal,36,37,6671975364,1000.01,1,47,357574560,55.2307,6009182182,,,0,MISSING_DATA
002.txt,074.txt,dal,37,42,7246327365,1000.02,1,47,6053708644,814.095,6221990319,,,0,MISSING_DATA
002.txt,075.txt,dal,24,32,1506819,0.26575,0,27,112496,0.0187402,1322794,24,89882337,12.53,PASS
002.txt,077.txt,dal,14,16,8021,0.000829234,0,15,15,1.32E-05,5465,14,54160,0.006,PASS
002.txt,078.txt,dal,36,37,6629805231,1000.02,1,47,357574560,55.2956,5970765057,,,0,MISSING_DATA
002.txt,079.txt,dal,10,14,2608,0.00036302,0,11,1348,0.000176667,1698,10,10352,0.001,PASS
002.txt,080.txt,dal,19,26,10366,0.00118892,0,20,1070,0.00015206,6715,19,29458,0.003,PASS
002.txt,081.txt,dal,36,40,13882957211,1000.01,1,47,3405144,0.348619,10780022363,,,0,MISSING_DATA
002.txt,082.txt,dal,19,26,10366,0.00115401,0,20,1070,0.000148424,6715,19,29458,0.003,PASS
002.txt,083.txt,dal,37,42,7947292317,1000.01,1,47,6053708644,735.391,6852650825,,,0,MISSING_DATA
002.txt,084.txt,dal,20,27,1834291,0.213844,0,22,236694,0.0221623,1554212,20,8549165,0.874,PASS
002.txt,085.txt,dal,42,52,31594454,3.54732,0,47,1780177,0.149626,21316298,42,205363610,18.453,PASS
002.txt,086.txt,dal,46,76,248553663,26.7015,0,47,248552798,26.7012,171646782,46,5133393391,447.64,PASS
002.txt,087.txt,dal,35,42,3938273307,1000.02,1,47,1062612658,278.346,3772210880,,,0,MISSING_DATA
002.txt,088.txt,dal,39,51,6486416718,1000.01,1,47,1770325,0.31835,4471532855,,,0,MISSING_DATA
002.txt,089.txt,dal,39,40,694766618,118.493,0,47,91141517,14.4292,608208998,39,699088144,124.334,PASS
002.txt,090.txt,dal,33,39,13398823335,1000.01,1,47,15747543,1.82179,11563886524,,,0,MISSING_DATA
002.txt,091.txt,dal,32,29,8376517709,1000.01,1,39,94194667,10.421,6689090937,,,0,MISSING_DATA
002.txt,092.txt,dal,9,14,382,0.000102173,0,10,24,1.12E-05,276,9,3826,0,PASS
002.txt,093.txt,dal,36,41,4627016694,1000.02,1,47,2462442940,594.393,4171307264,,,0,MISSING_DATA
002.txt,094.txt,dal,35,41,4232404301,1000.01,1,47,73758722,17.707,3971339100,,,0,MISSING_DATA
002.txt,095.txt,dal,39,40,4456797325,1000.01,1,47,307211520,72.1828,4111566609,39,962480730,180.564,PASS
002.txt,096.txt,dal,39,36,5286213291,1000.02,1,47,89176573,16.8864,4890044148,39,633060375,125.194,PASS
002.txt,097.txt,dal,39,36,5242591423,1000.02,1,47,89176573,16.957,4849161236,39,633060375,125.373,PASS
002.txt,099.txt,dal,20,21,147097,0.0126686,0,21,146164,0.0125076,90460,20,2369871,0.25,PASS
002.txt,100.txt,dal,15,16,25914,0.00226249,0,16,18475,0.00152156,16694,15,15412439,1.191,PASS
002.txt,101.txt,dal,17,15,836,0.000185789,0,18,321,7.37E-05,604,17,508683,0.062,PASS
002.txt,102.txt,dal,35,35,17578771720,1000.02,1,47,643018718,55.8188,14645819889,,,0,MISSING_DATA
002.txt,103.txt,dal,40,51,7654323821,1000.01,1,47,1600011311,237.247,7155693798,,,0,MISSING_DATA
002.txt,105.txt,dal,39,49,8048845369,1000.02,1,47,12953661,1.72862,5784876910,,,0,MISSING_DATA
002.txt,106.txt,dal,38,37,19368023800,1000.02,1,47,667950346,81.7134,15499795522,,,0,MISSING_DATA
002.txt,107.txt,dal,31,34,10275095198,1000.01,1,37,1812,0.000203545,8029329236,,,0,MISSING_DATA
002.txt,108.txt,dal,22,22,3043894,0.278224,0,25,36081,0.00386451,2235524,22,909998005,104.879,PASS
002.txt,109.txt,dal,45,70,30730663,4.22704,0,47,9741,0.00190724,20355212,,,0,MISSING_DATA
002.txt,111.txt,dal,27,33,501514276,58.6461,0,32,465399384,54.374,394209302,,,0,MISSING_DATA
002.txt,112.txt,dal,20,23,398589,0.031926,0,22,7527,0.000861321,246170,20,933063,0.115,PASS
002.txt,116.txt,dal,20,30,215281,0.0200424,0,22,174815,0.0160382,140074,20,131901,0.016,PASS
002.txt,120.txt,dal,12,12,591,0.000137676,0,13,131,3.29E-05,452,12,24012,0.003,PASS
002.txt,121.txt,dal,15,20,2409,0.000256595,0,15,2329,0.0002003,1500,15,56,0,PASS
002.txt,122.txt,dal,40,56,2294192363,254.209,0,47,2838780,0.285382,1760578040,40,1762447150,197.924,PASS
002.txt,123.txt,dal,40,56,2294192363,254.638,0,47,2838780,0.286158,1760578040,40,1762447150,235.252,PASS
002.txt,125.txt,dal,12,11,118,6.28E-05,0,12,13,9.48E-06,106,12,46,0,PASS
002.txt,126.txt,dal,30,38,18169,0.00175436,0,31,1953,0.000256023,10728,30,16279715,1.941,PASS
002.txt,137.txt,dal,37,43,19776985970,1000.02,1,47,365085,0.0567799,16470469492,,,0,MISSING_DATA
002.txt,139.txt,dal,41,48,5875674143,1000.02,1,47,647155688,68.2132,5332568057,,,0,MISSING_DATA
002.txt,140.txt,dal,41,48,5863037502,1000.02,1,47,647155688,68.7558,5320398412,,,0,MISSING_DATA
002.txt,143.txt,dal,29,31,8011781464,1000.02,1,40,206876861,24.2724,6040463109,,,0,MISSING_DATA
002.txt,144.txt,dal,41,46,4935761509,1000.02,1,47,12127378,1.97814,4399826768,,,0,MISSING_DATA
002.txt,145.txt,dal,16,14,338,0.000155585,0,16,200,6.23E-05,308,16,49252500,4.521,PASS
002.txt,146.txt,dal,35,42,4543142726,1000.02,1,47,63107915,8.29166,4354957431,,,0,MISSING_DATA
002.txt,147.txt,dal,40,46,8821922508,1000.02,1,47,11464,0.00124323,8153213522,,,0,MISSING_DATA
