instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts, ref_size, ref_nodes, ref_time, match
002.txt,077.txt,ll,14,16,7570,0.000558442,0,15,29,1.76E-05,5161,5161,0,2731,14,60253,0.004,PASS
002.txt,078.txt,ll,37,37,9049245759,1000.02,1,47,502414188,44.9312,7963124789,7963124789,0,6957031236,,,0,MISSING_DATA
002.txt,079.txt,ll,10,14,1069,0.000143467,0,11,11,9.59E-06,715,715,0,358,10,9943,0.001,PASS
002.txt,080.txt,ll,19,25,8078,0.000661579,0,20,125,2.74E-05,5183,5183,0,2284,19,29007,0.002,PASS
002.txt,081.txt,ll,39,38,9952175708,1000.02,1,47,128433252,12.3107,8370670665,8370670665,0,6870008271,,,0,MISSING_DATA
002.txt,082.txt,ll,19,25,8078,0.000680838,0,20,125,3.02E-05,5183,5183,0,2284,19,29007,0.002,PASS
002.txt,083.txt,ll,39,41,6614342305,1000.01,1,47,745514007,79.3621,5826837419,5826837419,0,5111735269,,,0,MISSING_DATA
002.txt,084.txt,ll,20,26,766710,0.062194,0,22,402852,0.0320692,619022,619022,0,473527,20,7699743,0.625,PASS
002.txt,085.txt,ll,42,42,48900483,4.36846,0,47,16065316,1.25529,32426147,32426147,0,17096953,42,48900483,4.673,PASS
002.txt,086.txt,ll,46,68,4200619301,302.597,0,47,4200619162,302.596,2739237771,2739237771,0,1306675879,46,4200619301,289.313,PASS
002.txt,087.txt,ll,40,34,4620143559,1000.02,1,47,1142462126,227.07,4140834188,4140834188,0,3689289490,,,0,MISSING_DATA
