,,ref_size,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size,unified_size,
algo,,dal,dsb,ll,mcsplit,rl,rrsplit,dal,dsb,ll,mcsplit,rl,rrsplit,
instance_a,instance_b,,,,,,,,,,,,,
074.txt,171.txt,34,33,33,33,33,33,33,33,33,33,33,33,33
074.txt,196.txt,23,,,,,22,22,22,22,22,22,22,22
078.txt,089.txt,49,,,,,48,48,48,48,48,48,48,48
078.txt,108.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
078.txt,111.txt,29,,,,,27,27,27,27,27,27,27,27
078.txt,171.txt,34,33,33,33,33,33,33,33,33,33,33,33,33
078.txt,196.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
083.txt,089.txt,52,,,,,51,51,,51,,,51,51
083.txt,099.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
083.txt,101.txt,18,17,17,17,17,17,17,17,17,17,17,17,17
083.txt,108.txt,24,,,,,22,22,22,22,22,22,22,22
083.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
083.txt,171.txt,34,33,33,33,33,33,33,33,33,33,33,33,33
083.txt,196.txt,23,,,,,22,22,22,22,22,22,22,22
087.txt,108.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
