instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned
mcs30_b03m_s20.A08,mcs30_b03m_s20.B08,rrsplit_nomax,15,15,8624,0.00196321,0,41,6.46E-05,13998,13998,216
mcs30_b03m_s20.A09,mcs30_b03m_s20.B09,rrsplit_nomax,15,13,9476,0.00236483,0,4519,0.00112936,16505,16505,978
mcs30_b03m_s25.A00,mcs30_b03m_s25.B00,rrsplit_nomax,20,15,23749,0.00600185,0,20233,0.00494977,44805,44805,49
mcs30_b03m_s25.A01,mcs30_b03m_s25.B01,rrsplit_nomax,19,15,37055,0.00973185,0,7476,0.00174099,83034,83034,1351
mcs30_b03m_s25.A02,mcs30_b03m_s25.B02,rrsplit_nomax,19,18,67889,0.0150461,0,29248,0.00602441,135664,135664,4206
mcs30_b03m_s25.A03,mcs30_b03m_s25.B03,rrsplit_nomax,19,13,100027,0.0222206,0,42711,0.00769297,213921,213921,45
mcs30_b03m_s25.A04,mcs30_b03m_s25.B04,rrsplit_nomax,19,13,85443,0.0205822,0,56444,0.0129118,209629,209629,10033
mcs30_b03m_s25.A05,mcs30_b03m_s25.B05,rrsplit_nomax,19,15,36559,0.00904968,0,15030,0.00310815,91166,91166,39
mcs30_b03m_s25.A06,mcs30_b03m_s25.B06,rrsplit_nomax,19,16,59000,0.0146658,0,15662,0.00319564,117086,117086,40
mcs30_b03m_s25.A07,mcs30_b03m_s25.B07,rrsplit_nomax,19,16,64615,0.0161372,0,4323,0.000929505,130001,130001,24
mcs30_b03m_s25.A08,mcs30_b03m_s25.B08,rrsplit_nomax,19,15,292708,0.056211,0,243122,0.0451681,716250,716250,48341
mcs30_b03m_s25.A09,mcs30_b03m_s25.B09,rrsplit_nomax,19,18,38620,0.0103056,0,3672,0.00076515,90673,90673,2492
mcs30_b03m_s30.A00,mcs30_b03m_s30.B00,rrsplit_nomax,23,16,438556,0.10919,0,267382,0.0601334,982319,982319,65
mcs30_b03m_s30.A01,mcs30_b03m_s30.B01,rrsplit_nomax,23,19,114805,0.0379237,0,8491,0.0026494,294363,294363,10279
mcs30_b03m_s30.A02,mcs30_b03m_s30.B02,rrsplit_nomax,23,21,365677,0.101565,0,123330,0.0257075,1043717,1043717,19903
mcs30_b03m_s30.A03,mcs30_b03m_s30.B03,rrsplit_nomax,23,18,538922,0.14765,0,36638,0.00899083,1216592,1216592,42
mcs30_b03m_s30.A04,mcs30_b03m_s30.B04,rrsplit_nomax,23,18,536562,0.135922,0,341747,0.0806915,1084113,1084113,14832
mcs30_b03m_s30.A05,mcs30_b03m_s30.B05,rrsplit_nomax,23,17,868904,0.164759,0,628180,0.0997569,1987835,1987835,60
mcs30_b03m_s30.A06,mcs30_b03m_s30.B06,rrsplit_nomax,23,18,357046,0.0955864,0,200425,0.0468438,977662,977662,36264
mcs30_b03m_s30.A07,mcs30_b03m_s30.B07,rrsplit_nomax,23,20,294131,0.0832536,0,25010,0.00506301,688671,688671,28091
mcs30_b03m_s30.A08,mcs30_b03m_s30.B08,rrsplit_nomax,23,17,386144,0.0905178,0,132204,0.0267094,893152,893152,2552
mcs30_b03m_s30.A09,mcs30_b03m_s30.B09,rrsplit_nomax,23,18,452150,0.114459,0,121366,0.0287744,817160,817160,7728
mcs30_b03m_s35.A00,mcs30_b03m_s35.B00,rrsplit_nomax,27,25,2636785,0.684728,0,1043145,0.242411,5486621,5486621,52
mcs30_b03m_s35.A01,mcs30_b03m_s35.B01,rrsplit_nomax,27,25,2488367,0.704241,0,1257489,0.342451,6141828,6141828,67
mcs30_b03m_s35.A02,mcs30_b03m_s35.B02,rrsplit_nomax,28,23,707643,0.181277,0,538952,0.129889,1449908,1449908,42748
mcs30_b03m_s35.A03,mcs30_b03m_s35.B03,rrsplit_nomax,27,20,4173768,1.04484,0,1722374,0.403826,8484657,8484657,75
mcs30_b03m_s35.A04,mcs30_b03m_s35.B04,rrsplit_nomax,27,23,2797571,0.826836,0,221524,0.039712,6964397,6964397,57
