instance_a, instance_b, algo, unified_size, unified_edges, unified_nodes, unified_time, unified_aborted, unified_root_ub, unified_nodes_to_best, unified_time_to_best,unified_cut_branches, unified_bound_pruned, unified_sym_pruned, unified_conflicts,
mcs30_m4D_s90.A00,mcs30_m4D_s90.B00,symsplit_varonly,64,51,5533984809,1000.02,1,90,1238798496,227.806,4070674409,4070674409,151605321,0,
mcs30_m4D_s90.A01,mcs30_m4D_s90.B01,symsplit_varonly,65,58,11720592227,1000.02,1,90,7046756237,607.522,8030157249,8030157249,218419168,0,
mcs30_m4D_s90.A02,mcs30_m4D_s90.B02,symsplit_varonly,62,55,13284016667,1000.01,1,90,4116728934,303.37,8790630788,8790630788,254757499,0,
mcs30_m4D_s90.A03,mcs30_m4D_s90.B03,symsplit_varonly,66,55,12521281647,1000.01,1,90,2807146818,210.622,8283043446,8283043446,289859546,0,
mcs30_m4D_s90.A04,mcs30_m4D_s90.B04,symsplit_varonly,66,60,12810400165,1000.02,1,90,2425075053,194.087,8925673628,8925673628,1035149221,0,
mcs30_m4D_s90.A05,mcs30_m4D_s90.B05,symsplit_varonly,62,53,10676243685,1000.02,1,90,18032432,1.36801,8029880318,8029880318,172832694,0,
mcs30_m4D_s90.A06,mcs30_m4D_s90.B06,symsplit_varonly,65,61,12547765035,1000.02,1,90,11216066623,901.163,8442839938,8442839938,331509995,0,
mcs30_m4D_s90.A07,mcs30_m4D_s90.B07,symsplit_varonly,63,56,11776599175,1000.01,1,90,778967187,59.4673,7749425264,7749425264,170341609,0,
mcs30_m4D_s90.A08,mcs30_m4D_s90.B08,symsplit_varonly,62,47,11533906231,1000.02,1,90,235753741,19.9662,8497650198,8497650198,481850261,0,
mcs30_m4D_s90.A09,mcs30_m4D_s90.B09,symsplit_varonly,64,49,9334669319,1000.01,1,90,2012990512,223.72,6897100930,6897100930,220621742,0,
mcs30_m4Dr2_s50.A00,mcs30_m4Dr2_s50.B00,symsplit_varonly,37,35,6684895753,658.285,0,50,2831680613,267.686,4543211330,4543211330,43682907,0,
mcs30_m4Dr2_s50.A01,mcs30_m4Dr2_s50.B01,symsplit_varonly,37,33,8143367657,796.41,0,50,6281511790,602.049,5756793314,5756793314,85941121,0,
mcs30_m4Dr2_s50.A02,mcs30_m4Dr2_s50.B02,symsplit_varonly,36,37,10284306545,1000.01,1,50,75935377,6.43915,7025569893,7025569893,57723841,0,
mcs30_m4Dr2_s50.A03,mcs30_m4Dr2_s50.B03,symsplit_varonly,37,32,9057226781,864.318,0,50,4246022736,387.873,6224902127,6224902127,58826981,0,
mcs30_m4Dr2_s50.A04,mcs30_m4Dr2_s50.B04,symsplit_varonly,36,35,10343934875,1000.02,1,50,6830069313,645.157,7197731817,7197731817,60084567,0,
mcs30_m4Dr2_s50.A05,mcs30_m4Dr2_s50.B05,symsplit_varonly,36,36,9976486092,1000.01,1,50,225754143,20.8932,6981763423,6981763423,63183055,0,
mcs30_m4Dr2_s50.A06,mcs30_m4Dr2_s50.B06,symsplit_varonly,36,30,10229811442,1000.01,1,50,1950760060,180.872,6979699095,6979699095,138888414,0,
mcs30_m4Dr2_s50.A07,mcs30_m4Dr2_s50.B07,symsplit_varonly,36,32,10089890872,1000.01,1,50,380160813,33.969,7206154072,7206154072,65332127,0,
mcs30_m4Dr2_s50.A08,mcs30_m4Dr2_s50.B08,symsplit_varonly,36,33,9997579997,1000.02,1,50,716556512,70.6662,6958310176,6958310176,55111693,0,
mcs30_m4Dr2_s50.A09,mcs30_m4Dr2_s50.B09,symsplit_varonly,37,31,10568934960,1000.01,1,50,8065546748,750.907,7562870777,7562870777,110490023,0,
mcs30_m4Dr2_s60.A00,mcs30_m4Dr2_s60.B00,symsplit_varonly,43,35,10724886614,1000.01,1,60,896967178,79.7683,7050019136,7050019136,104941196,0,
mcs30_m4Dr2_s60.A01,mcs30_m4Dr2_s60.B01,symsplit_varonly,42,39,11142125968,1000.02,1,60,4765845318,416.985,7246463613,7246463613,103874827,0,
mcs30_m4Dr2_s60.A02,mcs30_m4Dr2_s60.B02,symsplit_varonly,42,48,11574547828,1000.01,1,60,11165458929,963.738,7630394435,7630394435,149198228,0,
mcs30_m4Dr2_s60.A03,mcs30_m4Dr2_s60.B03,symsplit_varonly,42,34,10879486817,1000.01,1,60,3104219683,268.877,7144230463,7144230463,111604791,0,
mcs30_m4Dr2_s60.A04,mcs30_m4Dr2_s60.B04,symsplit_varonly,43,38,11193643152,1000.01,1,60,6864672783,604.607,7754738354,7754738354,142180633,0,
mcs30_m4Dr2_s60.A05,mcs30_m4Dr2_s60.B05,symsplit_varonly,43,37,10303731930,1000.02,1,60,769677875,72.5836,6792054616,6792054616,98322479,0,
mcs30_m4Dr2_s60.A06,mcs30_m4Dr2_s60.B06,symsplit_varonly,43,40,10594578829,1000.02,1,60,2610704159,231.66,7094538650,7094538650,79867777,0,
mcs30_m4Dr2_s60.A07,mcs30_m4Dr2_s60.B07,symsplit_varonly,42,38,11700979193,1000.02,1,60,492848695,42.2586,7590574667,7590574667,87868179,0,
mcs30_m4Dr2_s60.A08,mcs30_m4Dr2_s60.B08,symsplit_varonly,42,35,10940586298,1000.01,1,60,142738219,12.7076,7284173084,7284173084,112937495,0,
mcs30_m4Dr2_s60.A09,mcs30_m4Dr2_s60.B09,symsplit_varonly,43,38,9833321732,1000.01,1,60,888940465,87.2037,6474339843,6474339843,103786423,0,
mcs30_m4Dr2_s70.A00,mcs30_m4Dr2_s70.B00,symsplit_varonly,49,47,10375544459,1000.01,1,70,2043488786,189.62,6872919281,6872919281,244373178,0,
mcs30_m4Dr2_s70.A01,mcs30_m4Dr2_s70.B01,symsplit_varonly,50,44,11936126686,1000.02,1,70,6052460102,486.357,8404125414,8404125414,513229234,0,
mcs30_m4Dr2_s70.A02,mcs30_m4Dr2_s70.B02,symsplit_varonly,48,44,11182905334,1000.01,1,70,1107104457,94.1203,7512369063,7512369063,447405867,0,
